,precision,recall,f1-score,support
Eczema,0.0,0.0,0.0,1677.0
Melanoma,0.07183316168898043,0.08885350318471337,0.07944191343963554,3140.0
Atopic Dermatitis,0.11058187435633368,0.6833731105807478,0.1903601108033241,1257.0
Basal Cell Carcinoma,0.11849332984567094,0.13632260006018657,0.12678421494542402,3323.0
Melanocytic Nevi,0.6722136222910217,0.21794228356336262,0.3291642978965321,7970.0
Benign Keratosis,0.042068361086765996,0.023088023088023088,0.02981366459627329,2079.0
Psoriasis,0.0,0.0,0.0,2055.0
Seborrheic Keratoses,0.0,0.0,0.0,1847.0
Tinea Ringworm,0.10425160163075131,0.21034077555816685,0.1394080996884735,1702.0
Warts Molluscum,0.0,0.0,0.0,2103.0
micro avg,0.1649730493947159,0.13751703310868044,0.14999899572177475,27153.0
macro avg,0.11194419508995239,0.13599202960352003,0.08949723013696624,27153.0
weighted avg,0.23499244272017245,0.13751703310868044,0.14115305352427626,27153.0
